ORIGINAL|NEW
Accommodation|Accommodation including hotels, holiday homes and campsites
Adult and other education|Tutoring, training and coaching
Advertising and marketing services|Advertising and marketing
Agricultural materials wholesale|Agricultural product wholesale
Agriculture|
Architectural and other building services|Architecture, building and planning
Arts and entertainment|
Arts, antiques and second-hand goods retail|Art, antique and second-hand retail
Arts, sports and recreation goods manufacturing|Arts, sports and toy manufacturing
Arts, sports and recreation goods wholesale|Arts, sports and toy wholesale
